cruise,sta,date,time,lat,lon,"depth, m",ctd.S,btl.S,DO mg/L,chl ug/L,NH4 uM,NO2 uM,NO3 uM,NOX uM,DIN uM,PO4 uM,TDN uM,TDP uM,Si uM,DIC.whatisthis,sta.depth,csal,ctemp degC,pH.uga glass-electrode,DIC.uga umol/kg,ALK.uga umol/kg,d13C permil,dH permil,dO18 permil,DIC.uga uM,TA.uga uM,pH spec,labT.TA degC,labp.TA g/mL,labT.DIC degC,labp.DIC g/mL,S.new,"density, kg/m3",DO umol/kg,pH (calculated from TA & DIC),Arag (calculated from TA & DIC)
GM0606,A02,6/6/2006,1899-12-30 23:07:00,29.23867,-89.75688,9,34.2113,31.5,1.2091,3.39,5.089,2.638,3.983,6.621,11.71000004,0.374,19.25,0.68,17.093,25.19,6502009,34.2113,25.3927,8.218938307,2075.749883,2360.168568,NA,NA,NA,2124.191917,2415.248116,NA,NA,NA,23,1.023337125,32.85565,1020.619679,38.56492288,8.047217658,3.385794257
GM0606,A02,6/6/2006,1899-12-30 23:07:00,29.23867,-89.75688,4,22.8041,25.2,10.13197,12.74,4.897,0.68,2.881,3.561,8.458000183,0.199,17.46,0.37,10.052,24.58,6502004,22.8041,29.9982,8.279196557,2041.696816,2407.775564,NA,NA,NA,2071.738766,2443.204072,NA,NA,NA,23,1.014714207,24.00205,1014.41683,321.2008229,8.194724777,4.766193175
GM0606,A02,6/6/2006,1899-12-30 23:07:00,29.23867,-89.75688,1,22.799,23.2,10.0372,19.95,1.088,0.126,5.746,5.872,6.960000038,0.102,20.35,0.35,13.502,21.79,6502001,22.799,29.9627,8.742324247,1829.583095,2425.179951,NA,NA,NA,1856.496925,2460.855226,NA,NA,NA,23,1.014710362,22.9995,1012.92448,317.7283397,8.533599948,7.753549068
GM0606,A04,6/7/2006,1899-12-30 00:15:00,29.13452,-89.74835,19,36.1997,34.6,2.11746,1.45,1.475,1.589,5.809,7.398,8.873000145,0.469,13.3,0.68,12.025,25.62,6504019,36.1997,23.8682,8.038680319,2135.834952,2371.226499,NA,NA,NA,2188.900676,2430.140626,NA,NA,NA,23,1.024845424,35.39985,1023.460236,67.72554317,7.938938291,2.747248739
GM0606,A04,6/7/2006,1899-12-30 00:15:00,29.13452,-89.74835,1,27.0899,28.3,8.81111,5.6,0.242,-0.02,0.831,0.811,1.052999973,0.046,11.22,0.32,1.076,22.38,6504001,27.0899,29.5819,8.559158134,1885.548371,2395.600652,NA,NA,NA,1919.390918,2438.597814,NA,NA,NA,23,1.017948385,27.69495,1016.855908,279.9989143,8.357562641,6.287736017
GM0606,A05,6/7/2006,1899-12-30 01:10:00,29.07055,-89.75223,28,36.4167,36.2,2.88046,0.44,0.347,1.116,5.524,6.64,6.986999989,0.445,10,0.65,9.953,25.51,6505028,36.4167,23.728,8.083048919,2118.92457,2362.796993,NA,NA,NA,2171.919155,2421.890859,NA,NA,NA,23,1.025010132,36.30835,1024.752667,92.24593005,7.938940274,2.771612882
GM0606,A05,6/7/2006,1899-12-30 01:10:00,29.07055,-89.75223,15,35.3868,35.7,2.69127,0.52,0.6,1.447,8.371,9.818,10.41800022,0.377,13.59,0.63,12.087,26.13,6505015,35.3868,24.6258,7.994311718,2160.626099,2362.279673,NA,NA,NA,2212.975032,2419.514388,NA,NA,NA,23,1.024228594,35.5434,1024.049081,86.1279976,7.848962896,2.39793705
GM0606,A05,6/7/2006,1899-12-30 01:10:00,29.07055,-89.75223,1,19.843,27.1,11.35742,9.25,0.554,-0.026,11.661,11.635,12.18900013,0.032,24.41,0.36,6.85,22.03,6505001,19.843,29.3299,8.62741752,1885.530319,2426.994943,NA,NA,NA,1909.067301,2457.291001,NA,NA,NA,23,1.012482951,23.4715,1016.042083,360.6265447,8.412763808,6.758348729
GM0606,A06,6/7/2006,1899-12-30 02:04:00,29.00897,-89.75427,38,36.3696,36.1,2.67575,0.31,1.341,0.424,9.946,10.37,11.71099949,0.862,14.87,1.04,16.823,26.17,6506038,36.3696,21.5083,7.987485779,2175.989018,2368.589234,NA,NA,NA,2230.332996,2427.743283,NA,NA,NA,23,1.024974381,36.2348,1025.357695,85.7407419,7.868323816,2.240182067
GM0606,A06,6/7/2006,1899-12-30 02:04:00,29.00897,-89.75427,15,34.6903,35.7,4.41681,0.54,0.332,1.207,8.432,9.639,9.970999718,0.455,15.31,0.68,11.323,25.87,6506015,34.6903,25.2452,8.028441411,2140.643775,2373.107432,NA,NA,NA,2191.377707,2429.350826,NA,NA,NA,23,1.023700315,35.19515,1023.860414,141.3239532,7.899715078,2.71373362
GM0606,A06,6/7/2006,1899-12-30 02:04:00,29.00897,-89.75427,1,21.0098,21.5,11.58692,22.24,0.138,0.143,6.133,6.276,6.414000034,0.128,16.32,0.34,4.168,22.58,6506001,24.7789,29.1304,8.572810011,1890.101577,2396.033984,NA,NA,NA,1915.356876,2428.049488,NA,NA,NA,23,1.013361874,22.197175,1011.926826,366.4235901,8.469633471,6.707614716
GM0606,A07,6/7/2006,1899-12-30 03:00:00,28.94193,-89.75525,46,36.4026,36.2,3.60665,0.33,0.54,0.091,6.374,6.465,7.005000114,0.458,9.8,0.79,7.617,25.78,6507046,36.4026,20.7981,8.077929465,2147.25695,2390.504767,NA,NA,NA,2200.937149,2450.266023,NA,NA,NA,23,1.02499943,36.3013,1025.664448,115.6047315,7.977368719,2.721521567
GM0606,A07,6/7/2006,1899-12-30 03:00:00,28.94193,-89.75525,31,36.3753,36.1,2.17698,0.31,0.428,0.033,12.4,12.433,12.86100006,0.909,15.45,1.07,18.668,26.4,6507031,36.3753,21.6308,7.927758817,2206.582608,2383.657445,NA,NA,NA,2261.700188,2443.198126,NA,NA,NA,23,1.024978707,36.23765,1025.292953,69.75393616,7.83127515,2.106780531
GM0606,A07,6/7/2006,1899-12-30 03:00:00,28.94193,-89.75525,17,35.9976,36.1,5.28966,0.3,1.639,0.431,0.794,1.225,2.864000082,0.128,4.82,0.36,2.687,25.05,6507017,35.9976,24.9956,8.164960182,2087.818017,2392.634269,NA,NA,NA,2139.37051,2451.713298,NA,NA,NA,23,1.024692043,36.0488,1024.247904,169.3164484,8.025490323,3.434947044
GM0606,A07,6/7/2006,1899-12-30 03:00:00,28.94193,-89.75525,1,19.6574,25.3,11.76262,20.77,0.658,0.075,21.807,21.882,22.54000092,0.082,36.72,0.43,10.114,22.57,6507001,19.6574,29.0118,8.571103527,1942.921773,2399.372011,NA,NA,NA,1966.903596,2428.987878,NA,NA,NA,23,1.012343175,22.4787,1014.800785,373.0363643,8.340199919,5.818893754
GM0606,A08,6/7/2006,1899-12-30 04:00:00,28.83307,-89.75848,46,36.3773,36.2,3.47197,0.41,0.419,0.014,7.988,8.002,8.420999527,0.469,9.94,0.7,9.396,25.75,6508046,36.3773,20.9219,8.016496018,2155.56612,2383.095055,NA,NA,NA,2209.412648,2442.625306,NA,NA,NA,23,1.024980225,36.28865,1025.63063,111.284135,7.946211633,2.568301866
GM0606,A08,6/7/2006,1899-12-30 04:00:00,28.83307,-89.75848,20,35.9937,35.7,5.12181,0.6,0.18,1.171,1.031,2.202,2.381999969,0.088,4.81,0.31,2.637,25.09,6508020,35.9937,24.6015,8.15301479,2087.556542,2387.813451,NA,NA,NA,2139.0964,2446.766377,NA,NA,NA,23,1.024689084,35.84685,1024.078136,163.916573,8.02939246,3.393011474
GM0606,A09,6/7/2006,1899-12-30 04:52:00,28.75303,-89.75883,79,36.3932,35.8,2.73562,0.21,0.224,0.074,13.307,13.381,13.60499954,0.756,15.22,0.95,13.463,26.31,6509079,36.3932,19.4871,7.940557452,2200.917387,2376.60209,NA,NA,NA,2255.923362,2435.998829,NA,NA,NA,23,1.024992294,36.0966,1025.85438,87.7016563,7.862778918,2.05331453
GM0606,A09,6/7/2006,1899-12-30 04:52:00,28.75303,-89.75883,45,36.3744,36.1,2.141,0.24,0.215,0.029,7.384,7.413,7.628000259,0.507,9.63,0.69,11.59,25.89,6509045,36.3744,21.7378,8.045506257,2143.352216,2390.118007,NA,NA,NA,2196.888919,2449.818432,NA,NA,NA,23,1.024978024,36.2372,1025.324217,68.60317104,7.970809443,2.773143256
GM0606,A09,6/7/2006,1899-12-30 04:52:00,28.75303,-89.75883,11,35.2816,35.7,5.82177,0.8,1.038,0.009,0.373,0.382,1.419999957,0.075,3.89,0.45,2.192,25.13,6509011,35.2816,26.6436,8.176905575,2098.350194,2404.531508,NA,NA,NA,2149.02281,2462.598032,NA,NA,NA,23,1.024148789,35.4908,1023.406328,186.1956155,8.006444659,3.513567619
GM0606,A09,6/7/2006,1899-12-30 04:52:00,28.75303,-89.75883,1,29.216,30.1,9.2925,5.08,0.963,-0.016,0.419,0.403,1.365999937,0.044,9.71,0.31,0.806,22.96,6509001,29.216,28.5607,8.48407281,1940.35403,2385.97852,NA,NA,NA,1978.297942,2432.636685,NA,NA,NA,23,1.019555149,29.658,1018.537973,295.7849706,8.263034138,5.373376097
GM0606,A10,6/7/2006,1899-12-30 05:00:00,28.6337,-89.75518,133,36.3222,36.3,3.7036,0.11,0.387,0.033,12.67,12.703,13.09000015,0.69,14.61,0.87,6.122,26.15,6510133,36.3222,17.7257,7.979533826,2163.038647,2359.837299,NA,NA,NA,2216.981374,2418.687871,NA,NA,NA,23,1.024938402,36.3111,1026.923559,118.8580226,7.92977708,2.185946501
GM0606,A10,6/7/2006,1899-12-30 05:00:00,28.6337,-89.75518,71,36.4463,36.2,5.18011,0.62,0.376,0.003,0.477,0.48,0.855999947,0.068,3.58,0.38,2.195,25.12,6510071,36.4463,20.3535,8.149232518,2094.8401,2382.547964,NA,NA,NA,2147.279397,2442.189337,NA,NA,NA,23,1.025032601,36.32315,1025.894454,166.0764191,8.065330624,3.136884757
GM0606,A10,6/7/2006,1899-12-30 05:00:00,28.6337,-89.75518,48,36.5105,36.3,6.73666,0.4,0.828,-0.019,0.275,0.256,1.083999991,0.235,5.31,0.7,1.62,24.63,6510048,36.5105,23.2604,8.200397953,2064.670692,2379.934734,NA,NA,NA,2116.45539,2439.626676,NA,NA,NA,23,1.025081335,36.40525,1025.053085,215.8029087,8.067086052,3.470783629
GM0606,A10,6/7/2006,1899-12-30 05:00:00,28.6337,-89.75518,1,36.0284,35.7,6.12728,0.51,0.527,0.009,0.291,0.3,0.827000022,0.064,3.51,0.27,2.047,24.83,6510001,36.0284,27.3786,8.226833428,2066.248956,2395.648181,NA,NA,NA,2117.317161,2454.857626,NA,NA,NA,23,1.024715417,35.8642,1023.127651,195.9132716,8.034476124,3.770630362
GM0606,B02,6/7/2006,1899-12-30 16:20:00,29.069,-90.1899,7,33.1684,32.9,4.189,2.36,1.433,1.811,1.136,2.947,4.380000114,0.213,14.61,0.51,9.99,24.78,6602007,33.1684,27.375,8.245957447,2054.813665,2382.249222,NA,NA,NA,2101.142941,2435.96109,NA,NA,NA,23,1.022546704,33.0342,1021.04791,133.6665654,8.068057695,3.860287222
GM0606,B02,6/7/2006,1899-12-30 16:20:00,29.069,-90.1899,1,28.3439,30.7,7.08801,4.94,NA,0.244,0.307,0.551,NA,0.038,10.42,0.39,4.548,23.86,6602001,28.3439,29.6406,8.382978723,1994.029695,2403.666038,NA,NA,NA,2031.708628,2449.085407,NA,NA,NA,23,1.018895874,29.52195,1018.631223,225.6355956,8.184243092,4.975628296
GM0606,B03,6/7/2006,1899-12-30 15:51:00,29.04362,-90.16473,11,34.4176,34.5,4.16775,1.82,0.203,0.568,1.09,1.658,1.860999942,0.068,8.68,0.38,4.144,24.88,6603011,34.4176,26.6024,8.181276596,2095.308422,2400.455188,NA,NA,NA,2144.534624,2456.850366,NA,NA,NA,23,1.023493535,34.4588,1022.51496,133.1795794,8.020672314,3.549457434
GM0606,B03,6/7/2006,1899-12-30 15:51:00,29.04362,-90.16473,1,28.0731,29,7.50415,7.45,3.515,-0.006,-0.13,-0.136,3.379000187,0.117,12.12,0.41,5.8,22.68,6603001,28.0731,29.5135,8.510638298,1920.371356,2398.305319,NA,NA,NA,1956.265432,2443.132562,NA,NA,NA,23,1.018691216,28.53655,1017.40186,238.5944526,8.304955661,5.856532538
GM0606,B04,6/7/2006,1899-12-30 15:11:00,29.02462,-90.12067,15,35.1332,34.4,1.16578,1.79,0.387,1.766,7.156,8.922,9.309000015,0.454,14.04,0.77,18.538,25.37,6604015,35.1332,25.4829,7.983829787,2189.45545,2400.901811,NA,NA,NA,2242.081683,2458.610416,NA,NA,NA,23,1.02403622,34.7666,1022.805623,37.26284547,7.866497699,2.559869297
GM0606,B04,6/7/2006,1899-12-30 15:11:00,29.02462,-90.12067,1,27.7423,29.1,7.65415,5.23,0.982,-0.012,-0.138,-0.15,0.832000017,0.051,11.06,0.35,2.741,22.54,6604001,27.7423,29.155,8.524255319,1917.680017,2406.93094,NA,NA,NA,1953.044433,2451.317754,NA,NA,NA,23,1.01844125,28.42115,1017.594922,243.4098834,8.322576772,5.978487299
GM0606,B05,6/7/2006,1899-12-30 14:31:00,29.01962,-90.10615,15,35.0447,34.6,1.32977,1.78,0.919,0.702,3.916,4.618,5.537000179,0.186,12.39,0.5,9.739,25.84,6605015,35.0447,25.4636,7.982978723,2197.072625,2395.621447,NA,NA,NA,2249.734464,2453.042321,NA,NA,NA,23,1.023969093,34.82235,1022.962523,42.51112147,7.839751734,2.430182134
GM0606,B05,6/7/2006,1899-12-30 14:31:00,29.01962,-90.10615,7,32.771,33.4,6.01663,1.78,0.488,0.053,0.175,0.228,0.716000021,0.081,7.18,0.29,1.475,24.33,6605007,32.771,27.8982,8.263829787,2060.94056,2407.369236,NA,NA,NA,2106.787483,2460.922683,NA,NA,NA,23,1.022245631,33.0855,1021.25526,192.0232958,8.080234119,4.078344026
GM0606,B05,6/7/2006,1899-12-30 14:31:00,29.01962,-90.10615,1,28.4734,30,7.77137,NA,0.534,0.025,0.463,0.488,1.021999955,0.021,12.22,0.94,3.976,22.73,6605001,28.4734,29.3726,8.435744681,1974.549692,2422.761005,NA,NA,NA,2012.053801,2468.778329,NA,NA,NA,23,1.018993753,29.2367,1018.196565,247.2837182,8.248255763,5.464867723
GM0606,B05,6/7/2006,1899-12-30 14:31:00,29.01962,-90.10615,1,28.4734,29.8,7.77137,5.54,0.272,0.03,-0.095,-0.065,0.207000017,0.067,8.85,0.37,1.644,23.3,6605001,28.4734,29.3726,8.435744681,1974.549692,2422.761005,NA,NA,NA,2012.053801,2468.778329,NA,NA,NA,23,1.018993753,29.1367,1018.04691,247.2473723,8.25128055,5.47896466
GM0606,B06,6/7/2006,1899-12-30 13:39:00,28.99235,-90.10625,18,35.8826,35.7,0.18392,1.5,1.045,0.302,11.567,11.869,12.91400051,0.612,15.97,0.92,24.039,26.02,6606018,35.8826,23.9663,7.838297872,2243.241893,2386.123769,NA,NA,NA,2298.436352,2444.833804,NA,NA,NA,23,1.024604774,35.7913,1024.259727,5.887153549,7.724219273,1.846487896
GM0606,B06,6/7/2006,1899-12-30 13:39:00,28.99235,-90.10625,9,33.4401,33.9,5.62022,1.65,1.048,0.197,3.719,3.916,4.963999748,0.1,6.57,0.32,2.761,24.81,6606009,33.4401,27.3035,8.164255319,2098.377442,2385.1452,NA,NA,NA,2146.12095,2439.413416,NA,NA,NA,23,1.022752584,33.67005,1021.831537,179.4729191,7.989209582,3.390154739
GM0606,B06,6/7/2006,1899-12-30 13:39:00,28.99235,-90.10625,9,33.4401,33.5,5.62022,1.71,0.17,0.185,0.766,0.951,1.120999932,0.094,6.89,0.31,2.778,24.74,6606009,33.4401,27.3035,8.164255319,2098.377442,2385.1452,NA,NA,NA,2146.12095,2439.413416,NA,NA,NA,23,1.022752584,33.47005,1021.530637,179.4200695,7.994288159,3.405835717
GM0606,B06,6/7/2006,1899-12-30 13:39:00,28.99235,-90.10625,1,30.2156,29.5,7.19283,3.79,0.417,0.004,-0.115,-0.111,0.305999994,0.066,10.61,0.32,0.832,22.35,6606001,30.2156,28.8325,8.545531915,1896.055708,2411.987545,NA,NA,NA,1934.566803,2460.977816,NA,NA,NA,23,1.020311162,29.8578,1017.999968,228.8304783,8.355311243,6.252327604
GM0606,B08,6/7/2006,1899-12-30 12:10:00,28.92442,-90.03482,28,36.3759,36.3,2.16286,1.16,0.311,0.185,9.494,9.679,9.989999771,0.487,13.09,0.73,17.334,26.23,6608028,36.3759,23.0405,7.950638298,2177.63982,2387.806211,NA,NA,NA,2232.035439,2447.45161,NA,NA,NA,23,1.024979163,36.33795,1025.030159,69.28374596,7.878693094,2.441603435
GM0606,B08,6/7/2006,1899-12-30 12:10:00,28.92442,-90.03482,16,35.5664,35.7,4.37929,1.34,1.391,0.163,6.884,7.047,8.437999725,0.29,9.56,0.63,13.427,25.68,6608016,35.5664,25.7659,8.057021277,2137.653328,2396.295028,NA,NA,NA,2189.736931,2454.680397,NA,NA,NA,23,1.02436485,35.6332,1023.703852,140.1020051,7.937761858,2.997260844
GM0606,B08,6/7/2006,1899-12-30 12:10:00,28.92442,-90.03482,9,32.8488,33.9,5.89903,1.78,0.313,0.115,0.787,0.902,1.215000033,0.096,8.23,0.37,2.086,24.86,6608009,32.8488,27.654,8.191489362,2080.054994,2416.846309,NA,NA,NA,2126.449722,2470.753021,NA,NA,NA,23,1.022304568,33.3744,1021.718776,188.3554918,8.060878373,3.948797709
GM0606,B08,6/7/2006,1899-12-30 12:10:00,28.92442,-90.03482,1,29.6211,30,8.07903,4.09,0.084,0.036,0.17,0.206,0.289999992,0.035,8.87,0.32,1.353,22.27,6608001,29.6211,28.6583,8.550638298,1896.918754,2394.4439,NA,NA,NA,1934.594381,2442.001115,NA,NA,NA,23,1.019861487,29.81055,1018.431274,257.1326679,8.330502659,5.982941103
GM0606,B09,6/7/2006,1899-12-30 10:23:00,28.81615,-90.03415,35,36.3874,36,2.31474,0.81,0.543,0.081,7.014,7.095,7.637999535,0.304,10.4,0.56,15.455,25.48,6609035,36.3874,22.3937,8.116827743,2130.146477,2386.695481,NA,NA,NA,2183.374347,2446.333969,NA,NA,NA,23,1.024987892,36.1937,1025.019156,74.14818184,7.98118384,2.886982209
GM0606,B09,6/7/2006,1899-12-30 10:23:00,28.81615,-90.03415,13,35.2477,35.8,6.19636,0.63,0.113,0.005,0.494,0.499,0.611999989,0.066,4.82,0.95,1.519,24.87,6609013,35.2477,27.7764,8.25412166,2067.666297,2404.083601,NA,NA,NA,2117.544762,2462.077486,NA,NA,NA,23,1.024123073,35.52385,1023.125573,198.1216288,8.036585195,3.847982366
GM0606,B09,6/7/2006,1899-12-30 10:23:00,28.81615,-90.03415,1,34.7148,34.1,6.34146,1.17,0.141,-0.02,0.057,0.037,0.178000003,0.061,4.02,0.28,1.149,24.05,6609001,34.7148,28.0213,8.341102899,2025.99205,2414.435226,NA,NA,NA,2074.046341,2471.70296,NA,NA,NA,23,1.023718894,34.4074,1021.715352,202.481563,8.130985505,4.507289348
GM0606,B10,6/7/2006,1899-12-30 09:09:00,28.76727,-89.93313,48,36.3993,36.2,2.83123,0.51,1.638,0.053,7.943,7.996,9.633999825,0.459,11.78,0.67,14.566,26.2,6610048,36.3993,21.4483,8.032404775,2170.731998,2382.109567,NA,NA,NA,2224.993622,2441.654981,NA,NA,NA,23,1.024996925,36.29965,1025.494186,90.73496209,7.906044621,2.420678317
GM0606,B10,6/7/2006,1899-12-30 09:09:00,28.76727,-89.93313,28,36.3927,36.3,5.99625,0.52,0.395,0.38,0.581,0.961,1.356000066,0.081,4.89,0.33,4.487,NA,6610028,36.3927,24.8629,8.157760091,2112.386566,2384.329806,NA,NA,NA,2165.179152,2443.918773,NA,NA,NA,23,1.024991915,36.34635,1024.487369,191.9785237,7.969885744,3.084295657
GM0606,B10,6/7/2006,1899-12-30 09:09:00,28.76727,-89.93313,13,34.8681,34.9,6.2138,0.87,0.537,-0.008,0.057,0.049,0.586000025,0.051,4.81,0.49,0.908,NA,6610013,34.8681,27.76,8.306139852,2047.302853,2398.498612,NA,NA,NA,2096.100628,2455.667192,NA,NA,NA,23,1.023835152,34.88405,1022.453767,198.548796,8.071725551,4.043452048
GM0606,B10,6/7/2006,1899-12-30 09:09:00,28.76727,-89.93313,1,34.5471,34.3,6.28986,0.71,0.091,-0.061,0.088,0.027,0.118000001,0.046,5.19,0.31,0.873,24.25,6610001,34.5471,27.8497,8.349630472,2023.668154,2390.593855,NA,NA,NA,2071.40998,2446.992092,NA,NA,NA,23,1.023591727,34.42355,1021.921546,200.8745159,8.10345034,4.244934793
GM0606,B11,6/7/2006,1899-12-30 08:18:00,28.7264,-89.90393,56,36.3839,36.1,2.88763,0.23,0.212,0.004,8.604,8.608,8.819999695,0.583,12.61,0.8,12.909,26.12,6611056,36.3839,20.6265,8,2185.854865,2383.015051,NA,NA,NA,2240.468962,2442.555242,NA,NA,NA,23,1.024985235,36.24195,1025.67872,92.55911605,7.889496606,2.273606367
GM0606,B11,6/7/2006,1899-12-30 08:18:00,28.7264,-89.90393,29,36.3138,36.2,6.27258,0.69,0.695,-0.017,-0.034,-0.051,0.643999994,0.06,2.97,0.29,1.552,NA,6611029,36.3138,25.2411,8.226833428,2075.09125,2387.66871,NA,NA,NA,2126.82748,2447.198129,NA,NA,NA,23,1.024932026,36.2569,1024.300235,200.7889411,8.033833028,3.507082896
GM0606,B11,6/7/2006,1899-12-30 08:18:00,28.7264,-89.90393,1,34.8284,34.3,6.25316,0.77,0.486,-0.024,0.106,0.082,0.568000019,0.06,5.58,0.28,0.945,24.45,6611001,34.8284,27.5695,8.336839113,2028.643466,2399.273245,NA,NA,NA,2076.935413,2456.388051,NA,NA,NA,23,1.023805044,34.5642,1022.012293,199.7201893,8.111733821,4.282387014
GM0606,C03,6/8/2006,1899-12-30 00:35:00,28.98813,-90.51728,10,34.0699,34,3.29123,3.07,NA,0.324,0.169,0.493,NA,0.051,9.47,0.33,4.568,25.85,6703010,34.0699,27.2088,8.226704545,2097.522923,2393.994089,NA,NA,NA,2146.248234,2449.606404,NA,NA,NA,23,1.02322993,34.03495,1021.94142,105.1115748,8.004443209,3.490330805
GM0606,C03,6/8/2006,1899-12-30 00:35:00,28.98813,-90.51728,1,30.4155,31.5,7.11011,4.11,NA,-0.005,0.207,0.202,NA,0.068,11.56,0.33,1.653,24.05,6703001,30.4155,29.2241,8.490056818,1935.772779,2389.680164,NA,NA,NA,1975.383328,2438.578747,NA,NA,NA,23,1.020462396,30.95775,1019.368856,226.5030157,8.243362103,5.403570365
GM0606,C04,6/8/2006,1899-12-30 01:16:00,28.95232,-90.52412,12,34.9079,33.9,1.52352,2.39,NA,2.597,-2.477,0.12,NA,0.172,19.13,0.42,13.039,26.5,6704012,34.9079,26.3813,8.144034091,2134.822228,2400.407125,NA,NA,NA,2185.77048,2457.69365,NA,NA,NA,23,1.023865337,34.40395,1022.136785,48.66575731,7.962844236,3.149840525
GM0606,C04,6/8/2006,1899-12-30 01:16:00,28.95232,-90.52412,1,30.0461,31.2,7.41551,3.37,NA,0.094,0.084,0.178,NA,0.042,14.24,0.24,1.703,23.95,6704001,30.0461,29.2323,8.496022727,1933.90401,2396.45707,NA,NA,NA,1972.935879,2444.82462,NA,NA,NA,23,1.02018294,30.62305,1019.141428,236.1792771,8.25780168,5.526646927
GM0606,C05,6/8/2006,1899-12-30 01:55:00,28.915,-90.49247,14,35.7129,35.1,2.79772,1.43,NA,2.857,2.044,4.901,NA,0.162,14.01,0.4,12.256,25.76,6705014,35.7129,24.9153,8.139772727,2133.184623,2388.868792,NA,NA,NA,2185.39646,2447.338756,NA,NA,NA,23,1.024476005,35.40645,1023.503347,89.48697404,7.953634646,2.969716406
GM0606,C05,6/8/2006,1899-12-30 01:55:00,28.915,-90.49247,1,29.9303,31.2,7.5995,2.98,NA,-0.009,0.016,0.007,NA,0.052,8.16,0.31,3.093,24.04,6705001,29.9303,28.9515,8.480681818,1999.642567,2515.46658,NA,NA,NA,2039.826078,2566.015752,NA,NA,NA,23,1.020095347,30.56515,1019.234246,242.0612852,8.307664487,6.218307409
GM0606,C07,6/8/2006,1899-12-30 03:35:00,28.83187,-90.39292,19,36.2563,35.6,2.09368,1.07,NA,1.568,1.582,3.15,NA,0.1,12.96,0.38,10.356,26.8,6707019,36.2563,23.4707,8.05625,2154.239841,2385.088258,NA,NA,NA,2207.855387,2444.449248,NA,NA,NA,23,1.024888383,35.92815,1024.334541,67.02216151,7.923114214,2.677047881
GM0606,C07,6/8/2006,1899-12-30 03:35:00,28.83187,-90.39292,1,31.0245,33,7.43118,1.62,NA,0.007,0.037,0.044,NA,0.094,15.69,0.31,0.792,24.53,6707001,31.0245,28.329,8.427840909,1977.215003,2403.42579,NA,NA,NA,2018.584725,2453.713219,NA,NA,NA,23,1.020923229,32.01225,1020.788604,237.0608853,8.196103948,4.982896422
GM0606,C10,6/8/2006,1899-12-30 06:06:00,28.61227,-90.23633,43,36.4125,36.4,4.67318,1.67,NA,0.258,1.134,1.392,NA,0.105,19.16,0.35,6.112,26.49,6710043,36.4125,21.7017,8.129545455,2073.432046,2402.523547,NA,NA,NA,2125.282245,2462.60332,NA,NA,NA,23,1.025006944,36.40625,1025.553759,149.7742827,8.108421475,3.587852509
GM0606,C10,6/8/2006,1899-12-30 06:06:00,28.61227,-90.23633,19,36.2052,36.3,6.2524,0.34,NA,-0.018,0.175,0.157,NA,0.014,13.7,0.25,1.422,25.96,6710019,36.2052,26.6492,8.236931818,2073.0153,2400.986831,NA,NA,NA,2124.528897,2460.650389,NA,NA,NA,23,1.024849598,36.2526,1023.891542,200.0631111,8.034542876,3.705259406
GM0606,C10,6/8/2006,1899-12-30 06:06:00,28.61227,-90.23633,1,36.0247,36,6.11052,0.25,NA,-0.009,0.06,0.051,NA,0.042,14.4,0.23,1.364,25.84,6710001,36.0247,27.7482,8.248863636,2133.305135,2391.184482,NA,NA,NA,2186.024672,2450.27689,NA,NA,NA,23,1.024712609,36.01235,1023.23354,195.3976091,7.905900574,3.031326061
GM0606,D02,6/8/2006,1899-12-30 17:50:00,28.84163,-90.83362,13,35.5184,35.8,2.98409,4.16,2.705,2.723,1.555,4.278,6.982999802,0.138,9.98,0.91,16.764,26.66,6802013,35.81,25.58,8.036974316,2167.219664,2389.909925,NA,NA,NA,2219.944722,2448.052688,NA,NA,NA,23,1.024328433,35.7321,1023.82406,95.47805354,7.872972042,2.632260324
GM0606,D02,6/8/2006,1899-12-30 17:50:00,28.84163,-90.83362,1,30.357,30.7,6.39974,0.93,0.079,0.015,0.014,0.029,0.108000003,0.037,10.64,0.3,1.347,24.12,6802001,30.42,29.45,8.428168219,1955.651049,2376.995329,NA,NA,NA,1995.581799,2425.529144,NA,NA,NA,23,1.020418137,30.54425,1018.694759,203.7383152,8.208816354,5.084786116
GM0606,D02,6/8/2006,1899-12-30 17:50:00,28.84163,-90.83362,1,30.357,30.6,6.39974,NA,0.108,-0.001,0.021,0.02,0.128000006,0.038,12.42,0.28,1.161,24.05,6802001,30.42,29.45,8.428168219,1955.651049,2376.995329,NA,NA,NA,1995.581799,2425.529144,NA,NA,NA,23,1.020418137,30.49425,1018.619911,203.7233455,8.21024727,5.090898067
GM0606,D04,6/8/2006,1899-12-30 15:45:00,28.60633,-90.83328,17,36.3279,36,5.51686,0.77,NA,-0.014,-0.075,-0.089,NA,0.038,4.83,0.31,3.314,26.07,6804017,36.32,24.79,8.155517923,2105.300928,2389.746049,NA,NA,NA,2157.812878,2449.352836,NA,NA,NA,23,1.024942728,36.161975,1024.23493,176.5866444,7.99603595,3.228198073
